analysis_set,case_id,evidence_uncertainty,selected_sentence_ids,evidence_precision,evidence_recall,evidence_f1,majority_sentence_ids,medoid_sentence_ids,majority_mean_distance,medoid_mean_distance,majority_f1,medoid_f1
archehr_test,archehr_40,0.0,"[""4"", ""31"", ""35"", ""36"", ""37""]",,,,"[""4"", ""31"", ""35"", ""36"", ""37""]","[""4"", ""31"", ""35"", ""36"", ""37""]",0.0,0.0,,
archehr_test,archehr_41,0.11851851851851854,"[""2"", ""5""]",,,,"[""2"", ""5""]","[""2"", ""5""]",0.06666666666666668,0.06666666666666668,,
archehr_test,archehr_42,0.0,[],,,,[],[],0.0,0.0,,
archehr_test,archehr_43,0.05,"[""1"", ""3"", ""6""]",,,,"[""1"", ""3"", ""6""]","[""1"", ""3"", ""6""]",0.025,0.025,,
archehr_test,archehr_44,0.34074074074074073,"[""1"", ""7"", ""9""]",,,,"[""1"", ""7"", ""9""]","[""1"", ""7"", ""9""]",0.24666666666666667,0.24666666666666667,,
archehr_test,archehr_45,0.27450980392156865,"[""2"", ""3"", ""4"", ""19"", ""20"", ""24"", ""25"", ""27""]",,,,"[""2"", ""3"", ""4"", ""19"", ""20"", ""24"", ""25"", ""27""]","[""2"", ""3"", ""4"", ""19"", ""20"", ""24"", ""25"", ""27""]",0.20294117647058824,0.20294117647058824,,
archehr_test,archehr_46,0.28444444444444444,"[""3"", ""10"", ""11"", ""14"", ""15""]",,,,"[""3"", ""10"", ""11"", ""14"", ""15""]","[""3"", ""10"", ""11"", ""14"", ""15""]",0.1733333333333333,0.1733333333333333,,
archehr_test,archehr_47,0.0,"[""2"", ""4"", ""6"", ""10""]",,,,"[""2"", ""4"", ""6"", ""10""]","[""2"", ""4"", ""6"", ""10""]",0.0,0.0,,
archehr_test,archehr_48,0.0,"[""3"", ""4""]",,,,"[""3"", ""4""]","[""3"", ""4""]",0.0,0.0,,
archehr_test,archehr_49,0.0,"[""5"", ""8""]",,,,"[""5"", ""8""]","[""5"", ""8""]",0.0,0.0,,
archehr_test,archehr_50,0.11666666666666667,"[""8"", ""10"", ""11"", ""17""]",,,,"[""8"", ""10"", ""11"", ""17""]","[""8"", ""10"", ""11"", ""17""]",0.075,0.075,,
archehr_test,archehr_51,0.20491830065359476,"[""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""66""]",,,,"[""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""66""]","[""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""66""]",0.13372326203208557,0.13372326203208557,,
archehr_test,archehr_52,0.17777777777777778,"[""3"", ""5""]",,,,"[""3"", ""5""]","[""3"", ""5""]",0.13333333333333336,0.13333333333333336,,
archehr_test,archehr_53,0.0,[],,,,[],[],0.0,0.0,,
archehr_test,archehr_54,0.18641975308641975,"[""2"", ""7"", ""12"", ""13"", ""16"", ""17"", ""18"", ""33"", ""36""]",,,,"[""2"", ""7"", ""12"", ""13"", ""16"", ""17"", ""18"", ""33"", ""36""]","[""2"", ""7"", ""12"", ""13"", ""16"", ""17"", ""18"", ""33"", ""36""]",0.13222222222222224,0.13222222222222224,,
archehr_test,archehr_55,0.1,"[""7"", ""8"", ""9"", ""10""]",,,,"[""7"", ""8"", ""9"", ""10""]","[""7"", ""8"", ""9"", ""10""]",0.05,0.05,,
archehr_test,archehr_56,0.0,"[""4"", ""6""]",,,,"[""4"", ""6""]","[""4"", ""6""]",0.0,0.0,,
archehr_test,archehr_57,0.0,"[""13""]",,,,"[""13""]","[""13""]",0.0,0.0,,
archehr_test,archehr_58,0.0,"[""2"", ""3"", ""4""]",,,,"[""2"", ""3"", ""4""]","[""2"", ""3"", ""4""]",0.0,0.0,,
archehr_test,archehr_59,0.0,"[""2"", ""3""]",,,,"[""2"", ""3""]","[""2"", ""3""]",0.0,0.0,,
archehr_test,archehr_60,0.17331088664421995,"[""30"", ""33"", ""34"", ""37"", ""40"", ""43"", ""53"", ""56"", ""58"", ""59""]",,,,"[""30"", ""33"", ""34"", ""37"", ""40"", ""43"", ""53"", ""56"", ""58"", ""59""]","[""30"", ""33"", ""34"", ""37"", ""40"", ""43"", ""53"", ""56"", ""58"", ""59""]",0.10272727272727274,0.10272727272727274,,
archehr_test,archehr_61,0.13333333333333333,"[""1"", ""21"", ""22"", ""29"", ""32"", ""33""]",,,,"[""1"", ""21"", ""22"", ""29"", ""32"", ""33""]","[""1"", ""21"", ""22"", ""29"", ""32"", ""33""]",0.075,0.075,,
archehr_test,archehr_62,0.10617283950617283,"[""5"", ""6"", ""16"", ""17"", ""21"", ""22"", ""23"", ""26""]",,,,"[""5"", ""6"", ""16"", ""17"", ""21"", ""22"", ""23"", ""26""]","[""5"", ""6"", ""16"", ""17"", ""21"", ""22"", ""23"", ""26""]",0.05555555555555556,0.05555555555555556,,
archehr_test,archehr_63,0.25555555555555554,"[""4"", ""6"", ""14""]",,,,"[""4"", ""6"", ""14""]","[""4"", ""6"", ""14""]",0.175,0.175,,
archehr_test,archehr_64,0.32592592592592595,"[""4"", ""7"", ""8"", ""9""]",,,,"[""4"", ""7"", ""8"", ""9""]","[""4"", ""7"", ""8"", ""9""]",0.2,0.2,,
archehr_test,archehr_65,0.31374233886359787,"[""2"", ""9"", ""11"", ""13"", ""22"", ""24"", ""25"", ""27"", ""30"", ""33"", ""37"", ""38"", ""40"", ""53""]",,,,"[""2"", ""9"", ""11"", ""13"", ""22"", ""24"", ""25"", ""27"", ""30"", ""33"", ""37"", ""38"", ""40"", ""53""]","[""2"", ""9"", ""11"", ""13"", ""22"", ""24"", ""25"", ""27"", ""30"", ""33"", ""37"", ""38"", ""40"", ""53""]",0.2206732517568431,0.2206732517568431,,
archehr_test,archehr_66,0.0,"[""3"", ""7"", ""9"", ""11"", ""17""]",,,,"[""3"", ""7"", ""9"", ""11"", ""17""]","[""3"", ""7"", ""9"", ""11"", ""17""]",0.0,0.0,,
archehr_test,archehr_67,0.2678019511352845,"[""2"", ""7"", ""10"", ""11"", ""17"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""41""]",,,,"[""2"", ""7"", ""10"", ""11"", ""17"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""41""]","[""2"", ""7"", ""10"", ""11"", ""17"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""41""]",0.1964219114219114,0.18759129759129758,,
archehr_test,archehr_68,0.0,"[""16"", ""17"", ""18""]",,,,"[""16"", ""17"", ""18""]","[""16"", ""17"", ""18""]",0.0,0.0,,
archehr_test,archehr_69,0.2465608465608466,"[""27"", ""29"", ""30"", ""61"", ""62""]",,,,"[""27"", ""29"", ""30"", ""61"", ""62""]","[""27"", ""29"", ""30"", ""61"", ""62""]",0.16666666666666669,0.16666666666666669,,
archehr_test,archehr_70,0.0,"[""6"", ""7""]",,,,"[""6"", ""7""]","[""6"", ""7""]",0.0,0.0,,
archehr_test,archehr_71,0.3308232508232508,"[""22"", ""26"", ""27"", ""28"", ""32"", ""33""]",,,,"[""22"", ""26"", ""27"", ""28"", ""32"", ""33""]","[""22"", ""26"", ""27"", ""28"", ""32"", ""33""]",0.25402597402597404,0.25402597402597404,,
archehr_test,archehr_72,0.10246621146131747,"[""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""16"", ""18"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""34"", ""35"", ""36"", ""37"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53""]",,,,"[""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""16"", ""18"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""34"", ""35"", ""36"", ""37"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53""]","[""2"", ""3"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""16"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""34"", ""35"", ""36"", ""37"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53""]",0.06982522028022534,0.07052032285453579,,
archehr_test,archehr_73,0.2633333333333333,"[""4"", ""12"", ""13"", ""33"", ""42"", ""45"", ""46"", ""47""]",,,,"[""4"", ""12"", ""13"", ""33"", ""42"", ""45"", ""46"", ""47""]","[""4"", ""12"", ""13"", ""33"", ""42"", ""45"", ""46"", ""47""]",0.19333333333333333,0.19333333333333333,,
archehr_test,archehr_74,0.29402469135802467,"[""2"", ""21"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""32"", ""44"", ""45"", ""46"", ""60""]",,,,"[""2"", ""21"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""32"", ""44"", ""45"", ""46"", ""60""]","[""2"", ""21"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""32"", ""44"", ""45"", ""46"", ""60""]",0.22476923076923075,0.22476923076923075,,
archehr_test,archehr_75,0.0,"[""8"", ""10"", ""14"", ""15"", ""34""]",,,,"[""8"", ""10"", ""14"", ""15"", ""34""]","[""8"", ""10"", ""14"", ""15"", ""34""]",0.0,0.0,,
archehr_test,archehr_76,0.4541310541310541,"[""3"", ""4"", ""12"", ""34""]",,,,"[""3"", ""4"", ""12"", ""34""]","[""3"", ""4"", ""12"", ""34""]",0.32,0.32,,
archehr_test,archehr_77,0.0,"[""6"", ""7"", ""8"", ""9"", ""10"", ""12"", ""13"", ""14"", ""16"", ""17"", ""18"", ""19""]",,,,"[""6"", ""7"", ""8"", ""9"", ""10"", ""12"", ""13"", ""14"", ""16"", ""17"", ""18"", ""19""]","[""6"", ""7"", ""8"", ""9"", ""10"", ""12"", ""13"", ""14"", ""16"", ""17"", ""18"", ""19""]",0.0,0.0,,
archehr_test,archehr_78,0.16437389770723107,"[""17"", ""21"", ""22"", ""24"", ""25"", ""26"", ""31"", ""32"", ""34""]",,,,"[""17"", ""21"", ""22"", ""24"", ""25"", ""26"", ""31"", ""32"", ""34""]","[""17"", ""21"", ""22"", ""24"", ""25"", ""26"", ""31"", ""32"", ""34""]",0.10515873015873019,0.10515873015873019,,
archehr_test,archehr_79,0.21640211640211637,"[""9"", ""10"", ""12"", ""22"", ""23""]",,,,"[""9"", ""10"", ""12"", ""22"", ""23""]","[""9"", ""10"", ""12"", ""22"", ""23""]",0.11964285714285713,0.11964285714285713,,
archehr_test,archehr_80,0.18666666666666668,"[""11"", ""21"", ""22"", ""25"", ""26""]",,,,"[""11"", ""21"", ""22"", ""25"", ""26""]","[""11"", ""21"", ""22"", ""25"", ""26""]",0.12000000000000002,0.12000000000000002,,
archehr_test,archehr_81,0.0,"[""13"", ""17""]",,,,"[""13"", ""17""]","[""13"", ""17""]",0.0,0.0,,
archehr_test,archehr_82,0.0,"[""8"", ""11"", ""22""]",,,,"[""8"", ""11"", ""22""]","[""8"", ""11"", ""22""]",0.0,0.0,,
archehr_test,archehr_83,0.0,"[""3"", ""4"", ""5"", ""7"", ""12"", ""24"", ""25"", ""26"", ""27""]",,,,"[""3"", ""4"", ""5"", ""7"", ""12"", ""24"", ""25"", ""26"", ""27""]","[""3"", ""4"", ""5"", ""7"", ""12"", ""24"", ""25"", ""26"", ""27""]",0.0,0.0,,
archehr_test,archehr_84,0.0,"[""10"", ""15"", ""22"", ""25""]",,,,"[""10"", ""15"", ""22"", ""25""]","[""10"", ""15"", ""22"", ""25""]",0.0,0.0,,
archehr_test,archehr_85,0.16666666666666666,"[""3"", ""4"", ""22""]",,,,"[""3"", ""4"", ""22""]","[""3"", ""4"", ""22""]",0.08333333333333334,0.08333333333333334,,
archehr_test,archehr_86,0.22901234567901238,"[""2"", ""23"", ""25"", ""31"", ""32"", ""33"", ""34"", ""35"", ""55""]",,,,"[""2"", ""23"", ""25"", ""31"", ""32"", ""33"", ""34"", ""35"", ""55""]","[""2"", ""23"", ""25"", ""31"", ""32"", ""33"", ""34"", ""35"", ""55""]",0.13333333333333336,0.13333333333333336,,
archehr_test,archehr_87,0.15333333333333332,"[""2"", ""23"", ""34"", ""35""]",,,,"[""2"", ""23"", ""34"", ""35""]","[""2"", ""23"", ""34"", ""35""]",0.095,0.095,,
archehr_test,archehr_88,0.08404040404040401,"[""2"", ""4"", ""5"", ""6"", ""26"", ""27"", ""28"", ""29"", ""30"", ""32""]",,,,"[""2"", ""4"", ""5"", ""6"", ""26"", ""27"", ""28"", ""29"", ""30"", ""32""]","[""2"", ""4"", ""5"", ""6"", ""26"", ""27"", ""28"", ""29"", ""30"", ""32""]",0.05636363636363635,0.05636363636363635,,
archehr_test,archehr_89,0.0,"[""2"", ""3"", ""5"", ""8"", ""9"", ""12"", ""31"", ""32"", ""33""]",,,,"[""2"", ""3"", ""5"", ""8"", ""9"", ""12"", ""31"", ""32"", ""33""]","[""2"", ""3"", ""5"", ""8"", ""9"", ""12"", ""31"", ""32"", ""33""]",0.0,0.0,,
archehr_test,archehr_90,0.11999999999999998,"[""14"", ""19""]",,,,"[""14"", ""19""]","[""14"", ""19""]",0.06,0.06,,
archehr_test,archehr_91,0.0,"[""2"", ""3"", ""7""]",,,,"[""2"", ""3"", ""7""]","[""2"", ""3"", ""7""]",0.0,0.0,,
archehr_test,archehr_92,0.0,"[""6"", ""8"", ""14"", ""16""]",,,,"[""6"", ""8"", ""14"", ""16""]","[""6"", ""8"", ""14"", ""16""]",0.0,0.0,,
archehr_test,archehr_93,0.0,"[""3"", ""4"", ""6"", ""9""]",,,,"[""3"", ""4"", ""6"", ""9""]","[""3"", ""4"", ""6"", ""9""]",0.0,0.0,,
archehr_test,archehr_94,0.2222222222222222,"[""2"", ""9"", ""12"", ""13"", ""16"", ""17"", ""21"", ""22"", ""23"", ""24""]",,,,"[""2"", ""9"", ""12"", ""13"", ""16"", ""17"", ""21"", ""22"", ""23"", ""24""]","[""2"", ""9"", ""12"", ""13"", ""16"", ""17"", ""21"", ""22"", ""23"", ""24""]",0.2,0.2,,
archehr_test,archehr_95,0.0,"[""3"", ""4"", ""7""]",,,,"[""3"", ""4"", ""7""]","[""3"", ""4"", ""7""]",0.0,0.0,,
archehr_test,archehr_96,0.33621529302688724,"[""2"", ""5"", ""11"", ""12"", ""14"", ""15"", ""16"", ""18"", ""19"", ""20""]",,,,"[""2"", ""5"", ""11"", ""12"", ""14"", ""15"", ""16"", ""18"", ""19"", ""20""]","[""2"", ""5"", ""11"", ""12"", ""14"", ""15"", ""16"", ""18"", ""19"", ""20""]",0.22999999999999998,0.22999999999999998,,
archehr_test,archehr_97,0.31333333333333335,"[""10"", ""12"", ""15""]",,,,"[""10"", ""12"", ""15""]","[""10"", ""12"", ""15""]",0.19,0.19,,
archehr_test,archehr_98,0.05,"[""2"", ""8"", ""9""]",,,,"[""2"", ""8"", ""9""]","[""2"", ""8"", ""9""]",0.025,0.025,,
archehr_test,archehr_99,0.11851851851851854,"[""6"", ""7"", ""14""]",,,,"[""6"", ""7"", ""14""]","[""6"", ""7"", ""14""]",0.06666666666666668,0.06666666666666668,,
archehr_test,archehr_100,0.0,"[""5"", ""11"", ""14"", ""15"", ""27""]",,,,"[""5"", ""11"", ""14"", ""15"", ""27""]","[""5"", ""11"", ""14"", ""15"", ""27""]",0.0,0.0,,
archehr_test,archehr_101,0.0,"[""2"", ""11"", ""12""]",,,,"[""2"", ""11"", ""12""]","[""2"", ""11"", ""12""]",0.0,0.0,,
archehr_test,archehr_102,0.0,"[""6"", ""24"", ""52"", ""53""]",,,,"[""6"", ""24"", ""52"", ""53""]","[""6"", ""24"", ""52"", ""53""]",0.0,0.0,,
archehr_test,archehr_103,0.07936507936507939,"[""2"", ""9"", ""10"", ""12"", ""15"", ""16"", ""17""]",,,,"[""2"", ""9"", ""10"", ""12"", ""15"", ""16"", ""17""]","[""2"", ""9"", ""10"", ""12"", ""15"", ""16"", ""17""]",0.07142857142857145,0.07142857142857145,,
archehr_test,archehr_104,0.07777777777777775,"[""9"", ""10"", ""12"", ""13"", ""18""]",,,,"[""9"", ""10"", ""12"", ""13"", ""18""]","[""9"", ""10"", ""12"", ""13"", ""18""]",0.04999999999999999,0.04999999999999999,,
archehr_test,archehr_105,0.11203703703703705,"[""2"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""14"", ""15""]",,,,"[""2"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""14"", ""15""]","[""2"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""14"", ""15""]",0.07777777777777778,0.07777777777777778,,
archehr_test,archehr_106,0.0,"[""2""]",,,,"[""2""]","[""2""]",0.0,0.0,,
archehr_test,archehr_107,0.0,"[""17"", ""18"", ""22"", ""23""]",,,,"[""17"", ""18"", ""22"", ""23""]","[""17"", ""18"", ""22"", ""23""]",0.0,0.0,,
archehr_test,archehr_108,0.21566334899668232,"[""18"", ""26"", ""28"", ""30"", ""31"", ""32"", ""39"", ""44"", ""45"", ""47""]",,,,"[""18"", ""26"", ""28"", ""30"", ""31"", ""32"", ""39"", ""44"", ""45"", ""47""]","[""18"", ""26"", ""28"", ""30"", ""31"", ""32"", ""39"", ""44"", ""45"", ""47""]",0.1379254079254079,0.1379254079254079,,
archehr_test,archehr_109,0.0,"[""5"", ""10"", ""16"", ""18""]",,,,"[""5"", ""10"", ""16"", ""18""]","[""5"", ""10"", ""16"", ""18""]",0.0,0.0,,
archehr_test,archehr_110,0.03950617283950619,"[""19"", ""22"", ""27"", ""29"", ""30"", ""31"", ""32"", ""35"", ""42""]",,,,"[""19"", ""22"", ""27"", ""29"", ""30"", ""31"", ""32"", ""35"", ""42""]","[""19"", ""22"", ""27"", ""29"", ""30"", ""31"", ""32"", ""35"", ""42""]",0.022222222222222233,0.022222222222222233,,
archehr_test,archehr_111,0.0,"[""2"", ""8"", ""11"", ""18"", ""19""]",,,,"[""2"", ""8"", ""11"", ""18"", ""19""]","[""2"", ""8"", ""11"", ""18"", ""19""]",0.0,0.0,,
archehr_test,archehr_112,0.0,"[""13"", ""14"", ""19"", ""20""]",,,,"[""13"", ""14"", ""19"", ""20""]","[""13"", ""14"", ""19"", ""20""]",0.0,0.0,,
archehr_test,archehr_113,0.0,"[""6"", ""8"", ""9"", ""13"", ""19""]",,,,"[""6"", ""8"", ""9"", ""13"", ""19""]","[""6"", ""8"", ""9"", ""13"", ""19""]",0.0,0.0,,
archehr_test,archehr_114,0.07989417989417989,"[""7"", ""22"", ""23"", ""24"", ""25"", ""26"", ""28""]",,,,"[""7"", ""22"", ""23"", ""24"", ""25"", ""26"", ""28""]","[""7"", ""22"", ""23"", ""24"", ""25"", ""26"", ""28""]",0.04285714285714286,0.04285714285714286,,
archehr_test,archehr_115,0.0,"[""10"", ""11"", ""15""]",,,,"[""10"", ""11"", ""15""]","[""10"", ""11"", ""15""]",0.0,0.0,,
archehr_test,archehr_116,0.028571428571428577,"[""15"", ""16"", ""17"", ""20"", ""22"", ""25"", ""26""]",,,,"[""15"", ""16"", ""17"", ""20"", ""22"", ""25"", ""26""]","[""15"", ""16"", ""17"", ""20"", ""22"", ""25"", ""26""]",0.01428571428571429,0.01428571428571429,,
archehr_test,archehr_117,0.0,"[""4"", ""6"", ""13"", ""14""]",,,,"[""4"", ""6"", ""13"", ""14""]","[""4"", ""6"", ""13"", ""14""]",0.0,0.0,,
archehr_test,archehr_118,0.3131313131313131,"[""6"", ""8"", ""18"", ""22"", ""23"", ""32"", ""33"", ""35""]",,,,"[""6"", ""8"", ""18"", ""22"", ""23"", ""32"", ""33"", ""35""]","[""6"", ""7"", ""8"", ""18"", ""22"", ""23"", ""32"", ""33"", ""35""]",0.22739898989898993,0.225,,
archehr_test,archehr_119,0.0,"[""11"", ""22""]",,,,"[""11"", ""22""]","[""11"", ""22""]",0.0,0.0,,
archehr_test,archehr_120,0.0,"[""2"", ""3"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""20""]",,,,"[""2"", ""3"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""20""]","[""2"", ""3"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""20""]",0.0,0.0,,
